ABAD| abad. m y f. El que dirige una abadía o monasterio.
ACHACAR| achacar. tr. Atribuir.  Imputar. achacoso  achacoso, sa. adj. Habitualmente enfermo, con dolores. achaparrado  achaparrado, da.  Cosa baja y extendida.  Persona gruesa y de poca estatura.
ACHAQUE| achaque. m. Enfermedad habitual. Indisposiciones. achatar  achatar tr. Poner chata alguna cosa.
ACHICAR| achicar. tr. Disminuir el tamaño.  Extraer el agua de un buque, dique o  mina.. Humillar. achicharrar  achicharrar tr. Freír, asar demasiado.
ACHIQUE| achique. m. Acción y efecto de achicar. achiquillado  achiquillado, da. adj. Aniñado.
ACHIRA| achira. f. Planta sudamericana de tallo nudoso, de flor roja, o amarilla, o jaspeada.  Se cultiva por su valor ornamental.
ACHURA| achura. f. Arg. Parte del intestino o menudos de animal.
ACHURAR| achurar. tr. Quitar las achuras a la res.  Arg. fig. Herir o matar a tajos. aciago  aciago, ga. adj. infausto,  infeliz.
ACÍBAR| acíbar. m. Aloe, planta y su jugo.  fig. Amargura, disgusto. acicalar  acicalar tr. Limpiar.  Alisar.  Pulir.  Adornar.
ACICATE| acicate. m Espuela. ácido  ácido, da. adj. Que tiene sabor agrio.  Áspero. En Química cualquiera de las sustancias que pueden formar sales al combinarse con óxido. Suelen tener sabor agrio y enrojecer la tintura de tornasol.
ACIERTO| acierto. m. Acción de acertar. . Habilidad. Cordura.
ACIMUT| acimut. m Azimut  Astronomía, ángulo que con el meridiano forma el círculo vertical que pasa por un punto de la esfera terrestre o del globo terráqueo.
ACLAMAR| aclamar. tr Dar voces la multitud en honor de alguien.
ACLARAR| aclarar. tr. Disipar, volver claro.  Aumentar el espacio entre alguna cosa.  Esclarecer.  Amanecer.
ACNÉ| acné. f. Enfermedad de la piel caracterizada por inflamación de las glándulas sebáceas, especialmente en la cara.
ACODAR| acodar.  tr. Apoyar el codo.
ACOGER| acoger.  tr. Admitir. Aceptar.
ACOGIDA| acogida. f. Recibimiento.  Hospitalidad.
ACÓLITO| acólito. m. Ministro de la iglesia que sirve en el altar. Monaguillo.  Satélite, persona o cosa que depende de otra.
ACOMODO| acomodo. m. Empleo, ocupación o conveniencia.
ACOPIAR| acopiar. tr. Juntar. Reunir en cantidad. Acumular cereal en silos.
ACOPLAR| acoplar.  tr. Unir dos piezas exactamente. Unir animales en yunta.
ACORDE| acorde. adj. Conforme.  Conjunto de dos o más sonidos diferentes combinados armónicamente.
ACORTAR| acortar. tr. Hacer más corto.
ACOSAR| acosar. tr. Perseguir sin descanso.
ACOSTAR| acostar. tr. Tender a uno en la cama.
ACOTAR| acotar. tr. Agregar.  Citar textos o autoridades.  Poner notas o acotaciones a un texto.
ÁCRATA| ácrata. adj. Partidario de la supresión de toda autoridad. Sin poder.
ACRE| acre. adj. Áspero y picante al gusto y al olfato.
ACRE| acre. m. Medida inglesa de superficie equivalente a 40 áreas y 47 centiáreas. acrecentar  acrecentar tr. Aumentar. Hacer mayor.
ACTA| acta. f. Relación escrita de lo sucedido.  Certificado.
ACTITUD| actitud. f.  Disposición de ánimo.
ACTIVAR| activar. tr. Avivar, acelerar.  Hacer radiactiva una sustancia.
ACTO| acto. m. Hecho o acción.  Parte en que se divide una obra escénica. Disposición legal. actor  actor m. El que representa.  Demandante o acusador.
ACTRIZ| actriz. f. Mujer que representa en el teatro, cine y televisión.
ACTUAL| actual. adj. En el mismo momento.  En el presente.
ACTUAR| actuar. tr. Poner en acción. 
